manifest_version,ID_marked,split_group_id,split,source_prefix,n_observed_targets
1,C-720,record:C-720,test,C,4
1,C-722,record:C-722,test,C,4
1,C-749,record:C-749,test,C,4
1,C-769,record:C-769,test,C,2
1,C-773,record:C-773,test,C,2
1,C-774,record:C-774,test,C,2
1,C-777,record:C-777,test,C,2
1,C-811,record:C-811,test,C,4
1,G-198,record:G-198,test,G,2
1,G-199,record:G-199,test,G,3
1,G-303,record:G-303,test,G,2
1,G-336,record:G-336,test,G,2
1,G-358,record:G-358,test,G,2
1,G-360,record:G-360,test,G,3
1,G-443,record:G-443,test,G,3
1,G-455,record:G-455,test,G,2
1,G-464,record:G-464,test,G,2
1,N-1002,record:N-1002,test,N,4
1,N-1010,record:N-1010,test,N,3
1,N-1020,record:N-1020,test,N,3
1,N-1028,record:N-1028,test,N,3
1,N-1038,record:N-1038,test,N,4
1,N-1056,record:N-1056,test,N,3
1,N-1061,record:N-1061,test,N,3
1,N-1062,record:N-1062,test,N,3
1,N-1066,record:N-1066,test,N,3
1,N-1078,record:N-1078,test,N,3
1,N-1103,record:N-1103,test,N,3
1,N-1110,record:N-1110,test,N,3
1,N-1116,record:N-1116,test,N,3
1,N-1118,record:N-1118,test,N,3
1,N-1137,record:N-1137,test,N,3
1,N-1138,record:N-1138,test,N,3
1,N-1146,record:N-1146,test,N,3
1,N-1155,record:N-1155,test,N,3
1,N-1170,record:N-1170,test,N,3
1,N-1176,record:N-1176,test,N,3
1,N-1188,record:N-1188,test,N,2
1,N-1190,record:N-1190,test,N,2
1,N-1193,record:N-1193,test,N,2
1,N-1206,record:N-1206,test,N,2
1,N-1208,record:N-1208,test,N,2
1,N-1231,record:N-1231,test,N,2
1,N-1233,record:N-1233,test,N,2
1,N-1238,record:N-1238,test,N,2
1,N-1243,record:N-1243,test,N,2
1,N-1245,record:N-1245,test,N,2
1,N-1257,record:N-1257,test,N,2
1,N-1267,record:N-1267,test,N,2
1,N-147,record:N-147,test,N,3
1,N-157,record:N-157,test,N,3
1,N-158,record:N-158,test,N,3
1,N-163,record:N-163,test,N,2
1,N-1665,record:N-1665,test,N,2
1,N-1673,record:N-1673,test,N,2
1,N-1678,record:N-1678,test,N,4
1,N-1681,record:N-1681,test,N,3
1,N-1685,record:N-1685,test,N,2
1,N-1689,record:N-1689,test,N,3
1,N-1691,record:N-1691,test,N,2
1,N-1692,record:N-1692,test,N,4
1,N-1697,record:N-1697,test,N,2
1,N-1708,record:N-1708,test,N,4
1,N-1719,record:N-1719,test,N,2
1,N-1721,record:N-1721,test,N,2
1,N-1723,record:N-1723,test,N,2
1,N-1725,record:N-1725,test,N,2
1,N-1743,record:N-1743,test,N,4
1,N-1748,record:N-1748,test,N,2
1,N-1751,record:N-1751,test,N,3
1,N-1754,record:N-1754,test,N,2
1,N-176,record:N-176,test,N,2
1,N-1785,record:N-1785,test,N,2
1,N-1787,record:N-1787,test,N,2
1,N-1791,record:N-1791,test,N,2
1,N-1795,record:N-1795,test,N,2
1,N-1807,record:N-1807,test,N,2
1,N-1814,record:N-1814,test,N,2
1,N-1815,record:N-1815,test,N,2
1,N-1823,record:N-1823,test,N,4
1,N-1824,record:N-1824,test,N,4
1,N-1831,record:N-1831,test,N,2
1,N-1843,record:N-1843,test,N,2
1,N-1845,record:N-1845,test,N,2
1,N-1846,record:N-1846,test,N,2
1,N-1856,record:N-1856,test,N,2
1,N-1859,record:N-1859,test,N,2
1,N-1865,record:N-1865,test,N,2
1,N-187,record:N-187,test,N,4
1,N-1879,record:N-1879,test,N,2
1,N-1880,record:N-1880,test,N,2
1,N-1892,record:N-1892,test,N,2
1,N-1896,record:N-1896,test,N,2
1,N-1901,record:N-1901,test,N,2
1,N-191,record:N-191,test,N,3
1,N-1911,record:N-1911,test,N,2
1,N-1921,record:N-1921,test,N,2
1,N-1922,record:N-1922,test,N,2
1,N-1927,record:N-1927,test,N,2
1,N-1931,record:N-1931,test,N,3
1,N-1944,record:N-1944,test,N,3
1,N-1946,record:N-1946,test,N,5
1,N-1955,record:N-1955,test,N,5
1,N-1956,record:N-1956,test,N,5
1,N-1960,record:N-1960,test,N,5
1,N-1961,record:N-1961,test,N,5
1,N-1962,record:N-1962,test,N,5
1,N-1969,record:N-1969,test,N,5
1,N-1970,record:N-1970,test,N,3
1,N-1972,record:N-1972,test,N,5
1,N-1973,record:N-1973,test,N,5
1,N-1982,record:N-1982,test,N,5
1,N-1983,record:N-1983,test,N,5
1,N-1986,record:N-1986,test,N,5
1,N-1995,record:N-1995,test,N,5
1,N-200,record:N-200,test,N,3
1,N-2001,record:N-2001,test,N,4
1,N-2011,record:N-2011,test,N,5
1,N-2016,record:N-2016,test,N,5
1,N-2033,record:N-2033,test,N,5
1,N-2037,record:N-2037,test,N,4
1,N-204,record:N-204,test,N,3
1,N-2041,record:N-2041,test,N,5
1,N-2049,record:N-2049,test,N,5
1,N-2050,record:N-2050,test,N,5
1,N-2051,record:N-2051,test,N,5
1,N-2061,record:N-2061,test,N,5
1,N-2065,record:N-2065,test,N,5
1,N-2068,record:N-2068,test,N,5
1,N-2069,record:N-2069,test,N,5
1,N-2073,record:N-2073,test,N,5
1,N-2081,record:N-2081,test,N,5
1,N-2087,record:N-2087,test,N,5
1,N-2088,record:N-2088,test,N,5
1,N-210,record:N-210,test,N,4
1,N-2111,record:N-2111,test,N,5
1,N-2116,record:N-2116,test,N,5
1,N-2124,record:N-2124,test,N,5
1,N-2125,record:N-2125,test,N,5
1,N-2126,record:N-2126,test,N,5
1,N-2127,record:N-2127,test,N,5
1,N-2143,record:N-2143,test,N,5
1,N-2168,record:N-2168,test,N,5
1,N-2171,record:N-2171,test,N,5
1,N-2172,record:N-2172,test,N,5
1,N-2175,record:N-2175,test,N,5
1,N-2187,record:N-2187,test,N,5
1,N-220,record:N-220,test,N,2
1,N-2203,record:N-2203,test,N,5
1,N-2212,record:N-2212,test,N,5
1,N-2220,record:N-2220,test,N,5
1,N-2222,record:N-2222,test,N,5
1,N-2239,record:N-2239,test,N,5
1,N-2249,record:N-2249,test,N,5
1,N-2253,record:N-2253,test,N,3
1,N-2254,record:N-2254,test,N,3
1,N-2255,record:N-2255,test,N,5
1,N-2261,record:N-2261,test,N,3
1,N-2262,record:N-2262,test,N,3
1,N-2267,record:N-2267,test,N,3
1,N-2269,record:N-2269,test,N,3
1,N-2274,record:N-2274,test,N,3
1,N-2279,record:N-2279,test,N,3
1,N-2286,record:N-2286,test,N,3
1,N-229,record:N-229,test,N,2
1,N-2293,record:N-2293,test,N,5
1,N-2296,record:N-2296,test,N,3
1,N-2303,record:N-2303,test,N,3
1,N-2307,record:N-2307,test,N,4
1,N-2308,record:N-2308,test,N,3
1,N-2313,record:N-2313,test,N,3
1,N-2317,record:N-2317,test,N,3
1,N-2325,record:N-2325,test,N,3
1,N-2327,record:N-2327,test,N,2
1,N-233,record:N-233,test,N,3
1,N-2337,record:N-2337,test,N,5
1,N-2343,record:N-2343,test,N,2
1,N-2345,record:N-2345,test,N,3
1,N-2370,record:N-2370,test,N,3
1,N-2379,record:N-2379,test,N,5
1,N-2391,record:N-2391,test,N,5
1,N-2403,record:N-2403,test,N,3
1,N-2413,record:N-2413,test,N,3
1,N-2417,record:N-2417,test,N,3
1,N-2426,record:N-2426,test,N,2
1,N-2427,record:N-2427,test,N,2
1,N-2432,record:N-2432,test,N,2
1,N-2450,record:N-2450,test,N,2
1,N-2455,record:N-2455,test,N,2
1,N-2457,record:N-2457,test,N,2
1,N-2478,record:N-2478,test,N,2
1,N-2487,record:N-2487,test,N,2
1,N-249,record:N-249,test,N,3
1,N-2499,record:N-2499,test,N,3
1,N-250,record:N-250,test,N,2
1,N-2502,record:N-2502,test,N,2
1,N-257,record:N-257,test,N,3
1,N-2628,record:N-2628,test,N,2
1,N-2631,record:N-2631,test,N,2
1,N-2632,record:N-2632,test,N,2
1,N-2636,record:N-2636,test,N,2
1,N-2639,record:N-2639,test,N,2
1,N-2640,record:N-2640,test,N,2
1,N-2642,record:N-2642,test,N,2
1,N-2645,record:N-2645,test,N,2
1,N-2661,record:N-2661,test,N,5
1,N-267,record:N-267,test,N,3
1,N-2673,record:N-2673,test,N,5
1,N-268,record:N-268,test,N,4
1,N-2683,record:N-2683,test,N,4
1,N-2684,record:N-2684,test,N,4
1,N-274,record:N-274,test,N,2
1,N-279,record:N-279,test,N,2
1,N-282,record:N-282,test,N,2
1,N-296,record:N-296,test,N,2
1,N-320,record:N-320,test,N,2
1,N-334,record:N-334,test,N,4
1,N-335,record:N-335,test,N,5
1,N-344,record:N-344,test,N,5
1,N-356,record:N-356,test,N,5
1,N-357,record:N-357,test,N,5
1,N-359,record:N-359,test,N,5
1,N-376,record:N-376,test,N,5
1,N-385,record:N-385,test,N,5
1,N-391,record:N-391,test,N,5
1,N-400,record:N-400,test,N,5
1,N-441,record:N-441,test,N,5
1,N-445,record:N-445,test,N,5
1,N-454,record:N-454,test,N,5
1,N-465,record:N-465,test,N,4
1,N-472,record:N-472,test,N,5
1,N-476,record:N-476,test,N,4
1,N-477,record:N-477,test,N,4
1,N-480,record:N-480,test,N,4
1,N-485,record:N-485,test,N,4
1,N-491,record:N-491,test,N,4
1,N-495,record:N-495,test,N,4
1,N-505,record:N-505,test,N,4
1,N-506,record:N-506,test,N,4
1,N-522,record:N-522,test,N,4
1,N-527,record:N-527,test,N,2
1,N-53,record:N-53,test,N,4
1,N-554,record:N-554,test,N,5
1,N-556,record:N-556,test,N,5
1,N-562,record:N-562,test,N,5
1,N-569,record:N-569,test,N,5
1,N-574,record:N-574,test,N,5
1,N-577,record:N-577,test,N,5
1,N-581,record:N-581,test,N,5
1,N-595,record:N-595,test,N,4
1,N-612,record:N-612,test,N,5
1,N-62,record:N-62,test,N,4
1,N-625,record:N-625,test,N,5
1,N-63,record:N-63,test,N,4
1,N-630,record:N-630,test,N,5
1,N-632,record:N-632,test,N,5
1,N-64,record:N-64,test,N,4
1,N-646,record:N-646,test,N,5
1,N-655,record:N-655,test,N,5
1,N-658,record:N-658,test,N,5
1,N-659,record:N-659,test,N,5
1,N-660,record:N-660,test,N,5
1,N-662,record:N-662,test,N,5
1,N-664,record:N-664,test,N,5
1,N-666,record:N-666,test,N,5
1,N-669,record:N-669,test,N,5
1,N-689,record:N-689,test,N,5
1,N-692,record:N-692,test,N,5
1,N-696,record:N-696,test,N,5
1,N-698,record:N-698,test,N,5
1,N-709,record:N-709,test,N,5
1,N-711,record:N-711,test,N,5
1,N-714,record:N-714,test,N,5
1,N-722,record:N-722,test,N,5
1,N-730,record:N-730,test,N,5
1,N-745,record:N-745,test,N,5
1,N-746,record:N-746,test,N,5
1,N-755,record:N-755,test,N,5
1,N-764,record:N-764,test,N,5
1,N-78,record:N-78,test,N,5
1,N-798,record:N-798,test,N,5
1,N-805,record:N-805,test,N,5
1,N-808,record:N-808,test,N,5
1,N-814,record:N-814,test,N,5
1,N-834,record:N-834,test,N,4
1,N-841,record:N-841,test,N,4
1,N-847,record:N-847,test,N,2
1,N-849,record:N-849,test,N,2
1,N-851,record:N-851,test,N,2
1,N-854,record:N-854,test,N,2
1,N-855,record:N-855,test,N,2
1,N-863,record:N-863,test,N,2
1,N-893,record:N-893,test,N,5
1,N-905,record:N-905,test,N,2
1,N-920,record:N-920,test,N,5
1,N-922,record:N-922,test,N,5
1,N-923,record:N-923,test,N,5
1,N-926,record:N-926,test,N,5
1,N-929,record:N-929,test,N,4
1,N-934,record:N-934,test,N,5
1,N-939,record:N-939,test,N,5
1,N-940,record:N-940,test,N,5
1,N-945,record:N-945,test,N,5
1,N-948,record:N-948,test,N,5
1,N-953,record:N-953,test,N,5
1,N-955,record:N-955,test,N,5
1,N-960,record:N-960,test,N,5
1,N-962,record:N-962,test,N,5
1,N-975,record:N-975,test,N,5
1,N-981,record:N-981,test,N,5
1,N-982,record:N-982,test,N,5
1,N-994,record:N-994,test,N,5
1,N-999,record:N-999,test,N,5
1,R-1,record:R-1,test,R,3
1,R-100,record:R-100,test,R,2
1,R-121,record:R-121,test,R,4
1,R-128,record:R-128,test,R,4
1,R-130,record:R-130,test,R,4
1,R-132,record:R-132,test,R,4
1,R-138,record:R-138,test,R,4
1,R-143,record:R-143,test,R,4
1,R-145,record:R-145,test,R,4
1,R-147,record:R-147,test,R,4
1,R-155,record:R-155,test,R,4
1,R-297,record:R-297,test,R,4
1,R-37,record:R-37,test,R,3
1,R-48,record:R-48,test,R,3
1,R-57,record:R-57,test,R,2
1,R-90,record:R-90,test,R,2
1,R-95,record:R-95,test,R,2
1,R-98,record:R-98,test,R,2
1,S-20,record:S-20,test,S,2
1,S-23,record:S-23,test,S,2
1,S-39,record:S-39,test,S,2
1,S-43,record:S-43,test,S,2
1,S-8,record:S-8,test,S,2
1,B-103,record:B-103,train,B,4
1,B-104,record:B-104,train,B,4
1,B-105,record:B-105,train,B,3
1,B-114,record:B-114,train,B,3
1,B-115,record:B-115,train,B,3
1,B-116,record:B-116,train,B,3
1,B-117,record:B-117,train,B,3
1,B-118,record:B-118,train,B,3
1,B-119,record:B-119,train,B,3
1,B-120,record:B-120,train,B,3
1,B-121,record:B-121,train,B,3
1,B-122,record:B-122,train,B,3
1,B-123,record:B-123,train,B,3
1,B-124,record:B-124,train,B,3
1,B-125,record:B-125,train,B,3
1,B-126,record:B-126,train,B,3
1,B-127,record:B-127,train,B,2
1,B-130,record:B-130,train,B,2
1,B-132,record:B-132,train,B,3
1,B-133,record:B-133,train,B,3
1,B-134,record:B-134,train,B,3
1,B-135,record:B-135,train,B,3
1,B-136,record:B-136,train,B,3
1,B-137,record:B-137,train,B,3
1,B-172,record:B-172,train,B,4
1,B-173,record:B-173,train,B,4
1,B-174,record:B-174,train,B,4
1,B-183,record:B-183,train,B,4
1,B-214,record:B-214,train,B,3
1,B-215,record:B-215,train,B,5
1,B-216,record:B-216,train,B,5
1,B-217,record:B-217,train,B,5
1,B-218,record:B-218,train,B,5
1,B-228,record:B-228,train,B,5
1,B-229,record:B-229,train,B,5
1,B-230,record:B-230,train,B,5
1,B-234,record:B-234,train,B,5
1,B-235,record:B-235,train,B,5
1,B-239,record:B-239,train,B,5
1,B-240,record:B-240,train,B,5
1,B-241,record:B-241,train,B,5
1,B-264,record:B-264,train,B,5
1,B-273,record:B-273,train,B,4
1,B-274,record:B-274,train,B,4
1,B-275,record:B-275,train,B,4
1,B-276,record:B-276,train,B,4
1,B-279,record:B-279,train,B,3
1,B-304,record:B-304,train,B,3
1,B-305,record:B-305,train,B,3
1,B-306,record:B-306,train,B,3
1,B-307,record:B-307,train,B,3
1,B-308,record:B-308,train,B,3
1,B-309,record:B-309,train,B,4
1,B-315,record:B-315,train,B,5
1,B-317,record:B-317,train,B,5
1,B-320,record:B-320,train,B,5
1,B-321,record:B-321,train,B,5
1,B-325,record:B-325,train,B,5
1,B-326,record:B-326,train,B,5
1,B-328,record:B-328,train,B,5
1,B-329,record:B-329,train,B,5
1,B-330,record:B-330,train,B,5
1,B-341,record:B-341,train,B,2
1,B-342,record:B-342,train,B,2
1,B-343,record:B-343,train,B,2
1,B-344,record:B-344,train,B,5
1,B-462,record:B-462,train,B,3
1,B-463,record:B-463,train,B,3
1,B-464,record:B-464,train,B,3
1,B-465,record:B-465,train,B,5
1,B-466,record:B-466,train,B,5
1,B-467,record:B-467,train,B,4
1,B-468,record:B-468,train,B,4
1,B-469,record:B-469,train,B,5
1,B-471,record:B-471,train,B,3
1,B-472,record:B-472,train,B,4
1,B-474,record:B-474,train,B,5
1,B-475,record:B-475,train,B,4
1,B-476,record:B-476,train,B,5
1,B-479,record:B-479,train,B,3
1,B-480,record:B-480,train,B,3
1,B-481,record:B-481,train,B,3
1,B-483,record:B-483,train,B,3
1,B-484,record:B-484,train,B,4
1,B-485,record:B-485,train,B,3
1,B-511,record:B-511,train,B,4
1,B-513,record:B-513,train,B,4
1,B-517,record:B-517,train,B,4
1,B-518,record:B-518,train,B,4
1,B-519,record:B-519,train,B,4
1,B-520,record:B-520,train,B,4
1,B-521,record:B-521,train,B,4
1,B-522,record:B-522,train,B,4
1,B-525,record:B-525,train,B,4
1,B-527,record:B-527,train,B,5
1,B-528,record:B-528,train,B,5
1,B-532,record:B-532,train,B,5
1,B-533,record:B-533,train,B,5
1,B-534,record:B-534,train,B,5
1,B-537,record:B-537,train,B,3
1,B-538,record:B-538,train,B,4
1,B-541,record:B-541,train,B,5
1,B-543,record:B-543,train,B,5
1,B-544,record:B-544,train,B,5
1,B-683,record:B-683,train,B,2
1,B-684,record:B-684,train,B,2
1,B-685,record:B-685,train,B,5
1,B-693,record:B-693,train,B,2
1,B-694,record:B-694,train,B,3
1,B-706,record:B-706,train,B,4
1,B-734,record:B-734,train,B,2
1,B-757,record:B-757,train,B,2
1,B-758,record:B-758,train,B,4
1,B-759,record:B-759,train,B,2
1,B-760,record:B-760,train,B,4
1,B-761,record:B-761,train,B,3
1,B-766,record:B-766,train,B,2
1,B-767,record:B-767,train,B,3
1,B-768,record:B-768,train,B,4
1,B-769,record:B-769,train,B,4
1,B-770,record:B-770,train,B,3
1,B-771,record:B-771,train,B,2
1,B-775,record:B-775,train,B,2
1,B-840,record:B-840,train,B,5
1,B-841,record:B-841,train,B,5
1,B-842,record:B-842,train,B,4
1,B-843,record:B-843,train,B,5
1,B-847,record:B-847,train,B,5
1,B-848,record:B-848,train,B,5
1,B-850,record:B-850,train,B,2
1,B-852,record:B-852,train,B,5
1,B-854,record:B-854,train,B,5
1,B-855,record:B-855,train,B,5
1,B-859,record:B-859,train,B,5
1,B-863,record:B-863,train,B,5
1,B-864,record:B-864,train,B,5
1,B-865,record:B-865,train,B,5
1,B-866,record:B-866,train,B,2
1,B-868,record:B-868,train,B,5
1,B-869,record:B-869,train,B,5
1,B-870,record:B-870,train,B,5
1,B-872,record:B-872,train,B,5
1,B-873,record:B-873,train,B,4
1,B-874,record:B-874,train,B,5
1,B-876,record:B-876,train,B,5
1,B-878,record:B-878,train,B,5
1,B-880,record:B-880,train,B,5
1,B-881,record:B-881,train,B,4
1,B-883,record:B-883,train,B,4
1,B-884,record:B-884,train,B,5
1,B-885,record:B-885,train,B,5
1,B-887,record:B-887,train,B,3
1,B-888,record:B-888,train,B,5
1,B-889,record:B-889,train,B,5
1,B-890,record:B-890,train,B,2
1,B-893,record:B-893,train,B,2
1,B-897,record:B-897,train,B,4
1,B-898,record:B-898,train,B,4
1,B-899,record:B-899,train,B,5
1,B-900,record:B-900,train,B,2
1,B-902,record:B-902,train,B,2
1,B-909,record:B-909,train,B,4
1,C-1,record:C-1,train,C,2
1,C-10,record:C-10,train,C,2
1,C-11,record:C-11,train,C,2
1,C-5,record:C-5,train,C,2
1,C-573,record:C-573,train,C,4
1,C-577,record:C-577,train,C,4
1,C-579,record:C-579,train,C,4
1,C-580,record:C-580,train,C,4
1,C-581,record:C-581,train,C,4
1,C-583,record:C-583,train,C,4
1,C-586,record:C-586,train,C,4
1,C-587,record:C-587,train,C,4
1,C-588,record:C-588,train,C,4
1,C-589,record:C-589,train,C,4
1,C-590,record:C-590,train,C,2
1,C-594,record:C-594,train,C,2
1,C-595,record:C-595,train,C,2
1,C-596,record:C-596,train,C,2
1,C-599,record:C-599,train,C,2
1,C-601,record:C-601,train,C,2
1,C-604,record:C-604,train,C,2
1,C-606,record:C-606,train,C,2
1,C-608,record:C-608,train,C,2
1,C-609,record:C-609,train,C,2
1,C-610,record:C-610,train,C,2
1,C-611,record:C-611,train,C,2
1,C-613,record:C-613,train,C,2
1,C-614,record:C-614,train,C,4
1,C-615,record:C-615,train,C,4
1,C-616,record:C-616,train,C,4
1,C-617,record:C-617,train,C,4
1,C-618,record:C-618,train,C,4
1,C-619,record:C-619,train,C,4
1,C-620,record:C-620,train,C,4
1,C-622,record:C-622,train,C,4
1,C-623,record:C-623,train,C,4
1,C-626,record:C-626,train,C,4
1,C-630,record:C-630,train,C,4
1,C-631,record:C-631,train,C,4
1,C-633,record:C-633,train,C,4
1,C-634,record:C-634,train,C,4
1,C-638,record:C-638,train,C,4
1,C-639,record:C-639,train,C,4
1,C-640,record:C-640,train,C,4
1,C-641,record:C-641,train,C,4
1,C-643,record:C-643,train,C,4
1,C-646,record:C-646,train,C,4
1,C-647,record:C-647,train,C,4
1,C-648,record:C-648,train,C,4
1,C-650,record:C-650,train,C,4
1,C-651,record:C-651,train,C,4
1,C-652,record:C-652,train,C,4
1,C-654,record:C-654,train,C,4
1,C-655,record:C-655,train,C,4
1,C-656,record:C-656,train,C,4
1,C-657,record:C-657,train,C,4
1,C-658,record:C-658,train,C,4
1,C-659,record:C-659,train,C,4
1,C-660,record:C-660,train,C,4
1,C-662,record:C-662,train,C,4
1,C-663,record:C-663,train,C,4
1,C-665,record:C-665,train,C,4
1,C-666,record:C-666,train,C,4
1,C-669,record:C-669,train,C,4
1,C-671,record:C-671,train,C,4
1,C-672,record:C-672,train,C,4
1,C-673,record:C-673,train,C,4
1,C-674,record:C-674,train,C,4
1,C-675,record:C-675,train,C,4
1,C-677,record:C-677,train,C,4
1,C-678,record:C-678,train,C,4
1,C-680,record:C-680,train,C,4
1,C-681,record:C-681,train,C,4
1,C-682,record:C-682,train,C,4
1,C-683,record:C-683,train,C,4
1,C-684,record:C-684,train,C,4
1,C-685,record:C-685,train,C,4
1,C-686,record:C-686,train,C,4
1,C-688,record:C-688,train,C,4
1,C-691,record:C-691,train,C,4
1,C-693,record:C-693,train,C,4
1,C-694,record:C-694,train,C,4
1,C-696,record:C-696,train,C,4
1,C-697,record:C-697,train,C,4
1,C-699,record:C-699,train,C,4
1,C-701,record:C-701,train,C,4
1,C-705,record:C-705,train,C,4
1,C-706,record:C-706,train,C,4
1,C-707,record:C-707,train,C,4
1,C-708,record:C-708,train,C,4
1,C-709,record:C-709,train,C,4
1,C-712,record:C-712,train,C,4
1,C-716,record:C-716,train,C,3
1,C-718,record:C-718,train,C,4
1,C-719,record:C-719,train,C,4
1,C-724,record:C-724,train,C,4
1,C-726,record:C-726,train,C,4
1,C-728,record:C-728,train,C,4
1,C-729,record:C-729,train,C,4
1,C-730,record:C-730,train,C,4
1,C-732,record:C-732,train,C,4
1,C-733,record:C-733,train,C,4
1,C-734,record:C-734,train,C,4
1,C-735,record:C-735,train,C,4
1,C-739,record:C-739,train,C,4
1,C-740,record:C-740,train,C,4
1,C-741,record:C-741,train,C,4
1,C-743,record:C-743,train,C,4
1,C-746,record:C-746,train,C,4
1,C-747,record:C-747,train,C,4
1,C-748,record:C-748,train,C,4
1,C-750,record:C-750,train,C,4
1,C-751,record:C-751,train,C,4
1,C-752,record:C-752,train,C,4
1,C-753,record:C-753,train,C,4
1,C-754,record:C-754,train,C,4
1,C-756,record:C-756,train,C,4
1,C-757,record:C-757,train,C,4
1,C-758,record:C-758,train,C,4
1,C-759,record:C-759,train,C,4
1,C-760,record:C-760,train,C,4
1,C-761,record:C-761,train,C,4
1,C-763,record:C-763,train,C,4
1,C-765,record:C-765,train,C,4
1,C-770,record:C-770,train,C,2
1,C-771,record:C-771,train,C,2
1,C-772,record:C-772,train,C,2
1,C-776,record:C-776,train,C,2
1,C-779,record:C-779,train,C,2
1,C-792,record:C-792,train,C,2
1,C-8,record:C-8,train,C,2
1,C-804,record:C-804,train,C,4
1,C-805,record:C-805,train,C,3
1,C-808,record:C-808,train,C,4
1,C-810,record:C-810,train,C,4
1,G-1047,record:G-1047,train,G,2
1,G-1099,record:G-1099,train,G,3
1,G-1108,record:G-1108,train,G,3
1,G-1113,record:G-1113,train,G,3
1,G-1262,record:G-1262,train,G,3
1,G-1284,record:G-1284,train,G,3
1,G-17,record:G-17,train,G,3
1,G-259,record:G-259,train,G,2
1,G-356,record:G-356,train,G,3
1,G-357,record:G-357,train,G,3
1,G-359,record:G-359,train,G,2
1,G-361,record:G-361,train,G,3
1,G-362,record:G-362,train,G,3
1,G-363,record:G-363,train,G,3
1,G-444,record:G-444,train,G,2
1,G-445,record:G-445,train,G,2
1,G-446,record:G-446,train,G,2
1,G-451,record:G-451,train,G,3
1,G-453,record:G-453,train,G,2
1,G-454,record:G-454,train,G,2
1,G-456,record:G-456,train,G,3
1,G-457,record:G-457,train,G,2
1,G-462,record:G-462,train,G,2
1,G-471,record:G-471,train,G,2
1,G-472,record:G-472,train,G,2
1,G-478,record:G-478,train,G,2
1,G-8,record:G-8,train,G,2
1,N-1000,record:N-1000,train,N,5
1,N-1001,record:N-1001,train,N,5
1,N-1004,record:N-1004,train,N,5
1,N-1005,record:N-1005,train,N,5
1,N-1006,record:N-1006,train,N,5
1,N-1007,record:N-1007,train,N,5
1,N-1008,record:N-1008,train,N,3
1,N-1012,record:N-1012,train,N,4
1,N-1014,record:N-1014,train,N,3
1,N-1015,record:N-1015,train,N,3
1,N-1018,record:N-1018,train,N,3
1,N-1019,record:N-1019,train,N,3
1,N-1021,record:N-1021,train,N,3
1,N-1022,record:N-1022,train,N,3
1,N-1023,record:N-1023,train,N,3
1,N-1024,record:N-1024,train,N,3
1,N-1025,record:N-1025,train,N,3
1,N-1027,record:N-1027,train,N,3
1,N-1030,record:N-1030,train,N,3
1,N-1031,record:N-1031,train,N,3
1,N-1032,record:N-1032,train,N,3
1,N-1033,record:N-1033,train,N,3
1,N-1034,record:N-1034,train,N,3
1,N-1035,record:N-1035,train,N,3
1,N-1036,record:N-1036,train,N,3
1,N-1042,record:N-1042,train,N,3
1,N-1043,record:N-1043,train,N,3
1,N-1045,record:N-1045,train,N,3
1,N-1046,record:N-1046,train,N,3
1,N-1047,record:N-1047,train,N,3
