ID_marked,original_source_citation,specific_or_general,data_derivation_method
N-17,"Hu, M. et al. Iron and steel in Chinese residential buildings: A dynamic analysis. Resour. Conserv. Recycl. 54, 591–600 (2010).",General,Report/Literature
N-18,"Hu, M. et al. Iron and steel in Chinese residential buildings: A dynamic analysis. Resour. Conserv. Recycl. 54, 591–600 (2010).",General,Report/Literature
N-19,"Hu, D. et al. Input, stocks and output flows of urban residential building system in Beijing city, China from 1949 to 2008. Resour. Conserv. Recycl. 54, 1177–1188 (2010).",General,Architectural drawing
N-20,"Hu, D. et al. Input, stocks and output flows of urban residential building system in Beijing city, China from 1949 to 2008. Resour. Conserv. Recycl. 54, 1177–1188 (2010).",General,Architectural drawing
N-21,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-22,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-23,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-24,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-25,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-26,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-27,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-28,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-29,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-30,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-31,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-32,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Construction bill of materials
N-33,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Field Survey
N-34,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Field Survey
N-35,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Assumed
N-36,"Huang, T., Shi, F., Tanikawa, H., Fei, J. & Han, J. Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resour. Conserv. Recycl. 72, 91–101 (2013).",General,Assumed
N-37,"Hu, M., van der Voet, E. & Huppes, G. Dynamic Material Flow Analysis for Strategic Construction and Demolition Waste Management in Beijing. J. Ind. Ecol. 14, 440–456 (2010).",General,Report/Literature
N-38,"Hu, M., van der Voet, E. & Huppes, G. Dynamic Material Flow Analysis for Strategic Construction and Demolition Waste Management in Beijing. J. Ind. Ecol. 14, 440–456 (2010).",General,Report/Literature
N-39,"Wang, T., Tian, X., Hashimoto, S. & Tanikawa, H. Concrete transformation of buildings in China and implications for the steel cycle. Resour. Conserv. Recycl. 103, 205–215 (2015).",General,Field Survey
N-40,"Wang, T., Tian, X., Hashimoto, S. & Tanikawa, H. Concrete transformation of buildings in China and implications for the steel cycle. Resour. Conserv. Recycl. 103, 205–215 (2015).",General,Field Survey
N-41,"Wang, T., Tian, X., Hashimoto, S. & Tanikawa, H. Concrete transformation of buildings in China and implications for the steel cycle. Resour. Conserv. Recycl. 103, 205–215 (2015).",General,Field Survey
N-42,"Wang, T., Tian, X., Hashimoto, S. & Tanikawa, H. Concrete transformation of buildings in China and implications for the steel cycle. Resour. Conserv. Recycl. 103, 205–215 (2015).",General,Expert consultation
N-43,"Wang, T., Tian, X., Hashimoto, S. & Tanikawa, H. Concrete transformation of buildings in China and implications for the steel cycle. Resour. Conserv. Recycl. 103, 205–215 (2015).",General,Expert consultation
N-44,"Wang, T., Tian, X., Hashimoto, S. & Tanikawa, H. Concrete transformation of buildings in China and implications for the steel cycle. Resour. Conserv. Recycl. 103, 205–215 (2015).",General,Expert consultation
N-45,"Wang, T., Tian, X., Hashimoto, S. & Tanikawa, H. Concrete transformation of buildings in China and implications for the steel cycle. Resour. Conserv. Recycl. 103, 205–215 (2015).",General,Expert consultation
N-46,"Wang, T., Tian, X., Hashimoto, S. & Tanikawa, H. Concrete transformation of buildings in China and implications for the steel cycle. Resour. Conserv. Recycl. 103, 205–215 (2015).",General,Expert consultation
N-47,"Mastrucci, A. & Rao, N. D. Decent housing in the developing world: Reducing life-cycle energy requirements. Energy Build. 152, 629–642 (2017).",General,Architectural drawing
N-48,"Mastrucci, A. & Rao, N. D. Decent housing in the developing world: Reducing life-cycle energy requirements. Energy Build. 152, 629–642 (2017).",General,Architectural drawing
N-49,"Mastrucci, A. & Rao, N. D. Decent housing in the developing world: Reducing life-cycle energy requirements. Energy Build. 152, 629–642 (2017).",General,Architectural drawing
N-50,"Tanikawa, H., Fishman, T., Okuoka, K. & Sugimoto, K. The weight of society over time and space: A comprehensive account of the construction material stock of Japan, 1945-2010. J. Ind. Ecol. 19, 778–791 (2015).",General,Report/Literature
N-51,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-52,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-53,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-54,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-55,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-56,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-57,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-58,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-59,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-60,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-61,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-62,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-63,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-64,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-65,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-66,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-67,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-68,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-69,"Tanikawa, H. & Hashimoto, S. Urban stock over time: spatial material stock analysis using 4d-GIS. Build. Res. Inf. 37, 483–502 (2009).",General,Report/Literature
N-70,"Tanikawa, H., Managi, S. & Lwin, C. M. Estimates of Lost Material Stock of Buildings and Roads Due to the Great East Japan Earthquake and Tsunami. J. Ind. Ecol. 18, 421–431 (2014).",General,Report/Literature
N-71,"Tanikawa, H., Managi, S. & Lwin, C. M. Estimates of Lost Material Stock of Buildings and Roads Due to the Great East Japan Earthquake and Tsunami. J. Ind. Ecol. 18, 421–431 (2014).",General,Report/Literature
N-72,"Tanikawa, H., Managi, S. & Lwin, C. M. Estimates of Lost Material Stock of Buildings and Roads Due to the Great East Japan Earthquake and Tsunami. J. Ind. Ecol. 18, 421–431 (2014).",General,Report/Literature
N-73,"Tanikawa, H., Managi, S. & Lwin, C. M. Estimates of Lost Material Stock of Buildings and Roads Due to the Great East Japan Earthquake and Tsunami. J. Ind. Ecol. 18, 421–431 (2014).",General,Report/Literature
N-74,"Tanikawa, H., Managi, S. & Lwin, C. M. Estimates of Lost Material Stock of Buildings and Roads Due to the Great East Japan Earthquake and Tsunami. J. Ind. Ecol. 18, 421–431 (2014).",General,Report/Literature
N-75,"Song, Q. et al. Characterizing the essential materials and energy performance of city buildings: A case study of Macau. J. Clean. Prod. 194, 263–276 (2018).",General,Statistics
N-76,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-77,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-78,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-79,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-80,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-81,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-82,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-83,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-84,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-85,"Cheng, K.-L., Hsu, S.-C., Li, W.-M. & Ma, H.-W. Quantifying potential anthropogenic resources of buildings through hot spot analysis. Resour. Conserv. Recycl. 133, 10–20 (2018).",General,Report/Literature
N-86,"Surahman, U., Kubota, T. & Higashi, O. Life Cycle Assessment of Energy and CO2 Emissions for Residential Buildings in Jakarta and Bandung, Indonesia. Buildings 5, 1131–1155 (2015).",General,Architectural design codes
N-87,"Surahman, U., Kubota, T. & Higashi, O. Life Cycle Assessment of Energy and CO2 Emissions for Residential Buildings in Jakarta and Bandung, Indonesia. Buildings 5, 1131–1155 (2015).",General,Architectural design codes
N-88,"Surahman, U., Kubota, T. & Higashi, O. Life Cycle Assessment of Energy and CO2 Emissions for Residential Buildings in Jakarta and Bandung, Indonesia. Buildings 5, 1131–1155 (2015).",General,Architectural design codes
N-89,"Surahman, U., Kubota, T. & Higashi, O. Life Cycle Assessment of Energy and CO2 Emissions for Residential Buildings in Jakarta and Bandung, Indonesia. Buildings 5, 1131–1155 (2015).",General,Architectural design codes
N-90,"Surahman, U., Kubota, T. & Higashi, O. Life Cycle Assessment of Energy and CO2 Emissions for Residential Buildings in Jakarta and Bandung, Indonesia. Buildings 5, 1131–1155 (2015).",General,Architectural design codes
N-91,"Surahman, U., Kubota, T. & Higashi, O. Life Cycle Assessment of Energy and CO2 Emissions for Residential Buildings in Jakarta and Bandung, Indonesia. Buildings 5, 1131–1155 (2015).",General,Architectural design codes
N-92,"Surahman, U., Kubota, T. & Higashi, O. Life Cycle Assessment of Energy and CO2 Emissions for Residential Buildings in Jakarta and Bandung, Indonesia. Buildings 5, 1131–1155 (2015).",General,Architectural design codes
N-93,"Surahman, U., Kubota, T. & Higashi, O. Life Cycle Assessment of Energy and CO2 Emissions for Residential Buildings in Jakarta and Bandung, Indonesia. Buildings 5, 1131–1155 (2015).",General,Architectural design codes
N-94,"Kofoworola, O. F. & Gheewala, S. H. Life cycle energy assessment of a typical office building in Thailand. Energy Build. 41, 1076–1083 (2009).",Specific,Field survey
N-95,"Stephan, A. & Stephan, L. Reducing the total life cycle energy demand of recent residential buildings in Lebanon. Energy 74, 618–637 (2014).",Specific,Construction bill of materials
N-96,"Asif, M. et al. Life Cycle Assessment of a Three-Bedroom House in Saudi Arabia. Environments 4, 52 (2017).",Specific,Construction bill of materials
N-97,"El Hanandeh, A. Environmental assessment of popular single-family house construction alternatives in Jordan. Build. Environ. 92, 192–199 (2015).",Specific,Architectural drawing
N-98,"El Hanandeh, A. Environmental assessment of popular single-family house construction alternatives in Jordan. Build. Environ. 92, 192–199 (2015).",Specific,Architectural drawing
N-99,"L., P. D. & Palaniappan, S. A case study on life cycle energy use of residential building in Southern India. Energy Build. 80, 247–259 (2014).",Specific,Architectural drawing
N-100,"Sharma, A. & Marwaha, B. M. A methodology for energy performance classification of residential building stock of Hamirpur. HBRC J. 13, 337–352 (2017).",Specific,Architectural drawing
N-101,"Ramesh, T., Prakash, R. & Shukla, K. K. Life cycle energy analysis of a residential building with different envelopes and climates in Indian context. Appl. Energy 89, 193–202 (2012).",General,Report/Literature
N-102,"Shukla, A., Tiwari, G. N. & Sodha, M. S. Embodied energy analysis of adobe house. Renew. Energy 34, 755–761 (2009).",Specific,Architectural drawing
N-103,"Bansal, D., Singh, R. & Sawhney, R. L. Effect of construction materials on embodied energy and cost of buildings—A case study of residential houses in India up to 60m2 of plinth area. Energy Build. 69, 260–266 (2014).",General,Architectural drawing
N-104,"Lee, N., Tae, S., Gong, Y. & Roh, S. Integrated building life-cycle assessment model to support South Korea’s green building certification system (G-SEED). Renew. Sustain. Energy Rev. 76, 43–50 (2017).",General,Report/Literature
N-105,"Jeong, Y.-S., Lee, S.-E. & Huh, J.-H. Estimation of CO2 emission of apartment buildings due to major construction materials in the Republic of Korea. Energy Build. 49, 437–442 (2012).",Specific,Construction bill of materials/Architectural drawing
N-106,"Jeong, Y.-S., Lee, S.-E. & Huh, J.-H. Estimation of CO2 emission of apartment buildings due to major construction materials in the Republic of Korea. Energy Build. 49, 437–442 (2012).",Specific,Construction bill of materials/Architectural drawing
N-107,"Jeong, Y.-S., Lee, S.-E. & Huh, J.-H. Estimation of CO2 emission of apartment buildings due to major construction materials in the Republic of Korea. Energy Build. 49, 437–442 (2012).",Specific,Construction bill of materials/Architectural drawing
N-108,"Jeong, Y.-S., Lee, S.-E. & Huh, J.-H. Estimation of CO2 emission of apartment buildings due to major construction materials in the Republic of Korea. Energy Build. 49, 437–442 (2012).",Specific,Construction bill of materials/Architectural drawing
N-109,"Jeong, Y.-S., Lee, S.-E. & Huh, J.-H. Estimation of CO2 emission of apartment buildings due to major construction materials in the Republic of Korea. Energy Build. 49, 437–442 (2012).",Specific,Construction bill of materials/Architectural drawing
N-110,"Jeong, Y.-S., Lee, S.-E. & Huh, J.-H. Estimation of CO2 emission of apartment buildings due to major construction materials in the Republic of Korea. Energy Build. 49, 437–442 (2012).",Specific,Construction bill of materials/Architectural drawing
N-111,"Lee, S., Tae, S., Roh, S. & Kim, T. Green Template for Life Cycle Assessment of Buildings Based on Building Information Modeling: Focus on Embodied Environmental Impact. Sustainability 7, 16498–16512 (2015).",General,Construction bill of materials/Architectural drawing
N-112,"Jia Wen, T., Chin Siong, H. & Noor, Z. Z. Assessment of embodied energy and global warming potential of building construction using life cycle analysis approach: Case studies of residential buildings in Iskandar Malaysia. Energy Build. 93, 295–302 (2015).",Specific,Construction bill of materials/Architectural drawing
N-113,"Jia Wen, T., Chin Siong, H. & Noor, Z. Z. Assessment of embodied energy and global warming potential of building construction using life cycle analysis approach: Case studies of residential buildings in Iskandar Malaysia. Energy Build. 93, 295–302 (2015).",Specific,Construction bill of materials/Architectural drawing
N-114,"Abd Rashid, A., Idris, J. & Yusoff, S. Environmental Impact Analysis on Residential Building in Malaysia Using Life Cycle Assessment. Sustainability 9, 329 (2017).",Specific,Construction bill of materials/Architectural drawing
N-115,"Pajchrowski, G., Noskowiak, A., Lewandowska, A. & Strykowski, W. Wood as a building material in the light of environmental assessment of full life cycle of four buildings. Constr. Build. Mater. 52, 428–436 (2014).",General,Report/Literature
N-116,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-117,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-118,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-119,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-120,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-121,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-122,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-123,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-124,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-125,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-126,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-127,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-128,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-129,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-130,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-131,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-132,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-133,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-134,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-135,"Arceo, A., MacLean, H. L. & Saxe, S. Material intensity in single-family dwellings: Variability between locations, functional unit and drivers of material use in Toronto, Perth, and Luzon. Resour. Conserv. Recycl. 188, 106683 (2023).",Specific,Construction bill of materials/Architectural drawing
N-136,"Deetman, S. et al. Modelling global material stocks and flows for residential and service sector buildings towards 2050. J. Clean. Prod. 245, 118658 (2020).",General,Report/Literature
N-137,"Deetman, S. et al. Modelling global material stocks and flows for residential and service sector buildings towards 2050. J. Clean. Prod. 245, 118658 (2020).",General,Report/Literature
N-138,"Deetman, S. et al. Modelling global material stocks and flows for residential and service sector buildings towards 2050. J. Clean. Prod. 245, 118658 (2020).",General,Report/Literature
N-139,"A construction company in Weifang, Shandong, 2018",Specific,Construction bill of materials
N-140,"A construction company in Weifang, Shandong, 2018",Specific,Construction bill of materials
N-141,"A construction company in Weifang, Shandong, 2018",Specific,Construction bill of materials
N-142,"A construction company in Weifang, Shandong, 2018",Specific,Construction bill of materials
N-143,Face-to-face interview,Specific,Field survey
N-144,Face-to-face interview,Specific,Field survey
N-145,Face-to-face interview,Specific,Field survey
